Program,Term,Level,Subject Code,Subject Name,A*,A,A-,B+,B,B-,C+,C,C-,D+,D,F,All,A* To C+,C To D,F Only
Unknown Program,Unknown Term,54,STEN381,GPA < 1 1 - 1.3 1.3 - 1.5 1.5 - 1.7 1.7 - 2 2 - 2.3 2.3 - 2.5 2.5 - 2.7 2.7 - 3 3 - 3.3 3.3 - 3.5 3.5 - 3.7 > 3.7 Students Count 0 0 0 0 0 7 9 4 13 10 5 5 3 Please Wait ...,Title Freshmen Sophomore Junior Senior - 1 Senior - 2 No of Students 39 41 47 44 53,41,47,Select Term Spring 2026 Fall 2025 Summer 2025 Spring 2025 Fall 2024 Summer 2024 Spring 2024 Fall 2023 Summer 2023 Spring 2023 Fall 2022 Summer 2022 Spring 2022 Fall 2021 Summer 2021 Spring 2021 Fall 2020 Summer 2020 Spring 2020 Fall 2019 Summer 2019 Spring 2019 Fall 2018 Summer 2018 Spring 2018 Fall 2017 Summer 2017 Spring 2017 Fall 2016 Summer 2016 Spring 2016 Fall 2015 Summer 2015 Spring 2015 Fall 2014 Summer 2014 Spring 2014 Fall 2013 Summer 2013 Spring 2013 Fall 2012 Summer 2012 Spring 2012 Fall 2011 Summer 2011 Spring 2011 Fall 2010 Summer 2010 Spring 2010 Fall 2009 Summer 2009 Spring 2009 Fall 2008 Summer 2008 Spring 2008 Fall 2007 Summer 2007 Spring 2007 Fall 2006 Choose Program [XPPS] Petrochemical Process Systems Engineering [XBDE] Biomedical and Healthcare Data Engineering [SEE] Sustainable Energy Engineering [MEM] Manufacturing Engineering& Materials [IEM] Industrial Engineering & Management [MEE] Mechatronics Engineering [BDE] Biomedical and Healthcare Data Engineering [CIE] Civil Infrastructure Engineering [EEE] Electrical Energy Engineering [PPCC] Petroleum and Petrochemical Engineering [PPCP] Petroleum and Petrochemical Engineering [WEE] Water Engineering and Environment [CCEE] Communication and Computer Engineering [CCEC] Communication and Computer Engineering [STE] Structural Engineering [AEM] Aeronautical Eng. and Aviation Management [MDE] Mechanical Design Engineering [AET] Architectural Engineering and Technology [PPS] Petrochemical Process Systems Engineering [CEM] Construction Engineering and Management [CCE] Communication and Computer Engineering All Programs Choose Subject All Subjects Total GPA Statistics ( for the selected term and program and Subject ) GPA < 1 1 - 1.3 1.3 - 1.5 1.5 - 1.7 1.7 - 2 2 - 2.3 2.3 - 2.5 2.5 - 2.7 2.7 - 3 3 - 3.3 3.3 - 3.5 3.5 - 3.7 > 3.7 Students Count 144 0 1 0 0 0 0 0 0 0 0 0 0 Please Wait ... Program Number of Students ( for the selected term and program ) Title Freshmen Sophomore Junior Senior - 1 Senior - 2 No of Students 548 3 0 0 0,GPA < 1 1 - 1.3 1.3 - 1.5 1.5 - 1.7 1.7 - 2 2 - 2.3 2.3 - 2.5 2.5 - 2.7 2.7 - 3 3 - 3.3 3.3 - 3.5 3.5 - 3.7 > 3.7 Students Count 144 0 1 0 0 0 0 0 0 0 0 0 0 Please Wait ...,144,Title Freshmen Sophomore Junior Senior - 1 Senior - 2 No of Students 548 3 0 0 0,548,Select Term Spring 2026 Fall 2025 Summer 2025 Spring 2025 Fall 2024 Summer 2024 Spring 2024 Fall 2023 Summer 2023 Spring 2023 Fall 2022 Summer 2022 Spring 2022 Fall 2021 Summer 2021 Spring 2021 Fall 2020 Summer 2020 Spring 2020 Fall 2019 Summer 2019 Spring 2019 Fall 2018 Summer 2018 Spring 2018 Fall 2017 Summer 2017 Spring 2017 Fall 2016 Summer 2016 Spring 2016 Fall 2015 Summer 2015 Spring 2015 Fall 2014 Summer 2014 Spring 2014 Fall 2013 Summer 2013 Spring 2013 Fall 2012 Summer 2012 Spring 2012 Fall 2011 Summer 2011 Spring 2011 Fall 2010 Summer 2010 Spring 2010 Fall 2009 Summer 2009 Spring 2009 Fall 2008 Summer 2008 Spring 2008 Fall 2007 Summer 2007 Spring 2007 Fall 2006 Choose Program [XPPS] Petrochemical Process Systems Engineering [XBDE] Biomedical and Healthcare Data Engineering [SEE] Sustainable Energy Engineering [MEM] Manufacturing Engineering& Materials [IEM] Industrial Engineering & Management [MEE] Mechatronics Engineering [BDE] Biomedical and Healthcare Data Engineering [CIE] Civil Infrastructure Engineering [EEE] Electrical Energy Engineering [PPCC] Petroleum and Petrochemical Engineering [PPCP] Petroleum and Petrochemical Engineering [WEE] Water Engineering and Environment [CCEE] Communication and Computer Engineering [CCEC] Communication and Computer Engineering [STE] Structural Engineering [AEM] Aeronautical Eng. and Aviation Management [MDE] Mechanical Design Engineering [AET] Architectural Engineering and Technology [PPS] Petrochemical Process Systems Engineering [CEM] Construction Engineering and Management [CCE] Communication and Computer Engineering All Programs Choose Subject All Subjects AETN381:Industrial Training-2 AETN281:Industrial Training-1 Subject Level Subject Code Subject Name A* A A- B+ B B- C+ C C- D+ D F All A* To C+ C To D F Only 2 AETN281 Industrial Training-1 61 0 0 4 0 0 0 0 0 0 0 3 68 65 0 3 3 AETN381 Industrial Training-2 7 0 0 0 0 0 0 0 0 0 0 1 8 7 0 1 Total GPA Statistics ( for the selected term and program and Subject ) GPA < 1 1 - 1.3 1.3 - 1.5 1.5 - 1.7 1.7 - 2 2 - 2.3 2.3 - 2.5 2.5 - 2.7 2.7 - 3 3 - 3.3 3.3 - 3.5 3.5 - 3.7 > 3.7 Students Count 489 6 3 4 27 61 52 60 91 68 26 23 14 Please Wait ... Program Number of Students ( for the selected term and program ) Title Freshmen Sophomore Junior Senior - 1 Senior - 2 No of Students 668 55 59 56 22,All Subjects AETN381:Industrial Training-2 AETN281:Industrial Training-1,Subject Level Subject Code Subject Name A* A A- B+ B B- C+ C C- D+ D F All A* To C+ C To D F Only 2 AETN281 Industrial Training-1 61 0 0 4 0 0 0 0 0 0 0 3 68 65 0 3 3 AETN381 Industrial Training-2 7 0 0 0 0 0 0 0 0 0 0 1 8 7 0 1,AETN281,68,65,AETN381,GPA < 1 1 - 1.3 1.3 - 1.5 1.5 - 1.7 1.7 - 2 2 - 2.3 2.3 - 2.5 2.5 - 2.7 2.7 - 3 3 - 3.3 3.3 - 3.5 3.5 - 3.7 > 3.7 Students Count 489 6 3 4 27 61 52 60 91 68 26 23 14 Please Wait ...
[CIE] Civil Infrastructure Engineering,Fall 2024,3,PBWS306,Geomatics,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2024,3,PBWS307,Railway Engineering-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2024,3,STRS302,Steel Structures Design I,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2024,3,STRS303,Reinforced Concrete Design II,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2024,4,PBWS402,Foundations,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Summer 2024,3,CIEN381,Industrial Training (2),1,0,0,0,0,,,,,Subject Level,B+,B,0,0,,
[CIE] Civil Infrastructure Engineering,Spring 2024,2,GENS201,Ethics and Legislation,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Spring 2024,3,CIEN381,Industrial Training (2),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2024,3,PBWN303,Foundations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2024,3,STRS303,Reinforced Concrete Design II,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2024,3,STRS322,Construction Planning and Scheduling,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Spring 2024,4,CIEN481,Graduation Project-2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2024,4,PBWN446,Deep Excavation and Side Support,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0
[CIE] Civil Infrastructure Engineering,Fall 2023,1,MTHS104,Differential Equations,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2023,3,PBWN303,Foundations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2023,3,STRN322,Construction Planning and Scheduling,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2023,3,STRS301,Reinforced Concrete Design I,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2023,3,STRS302,Steel Structures Design I,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2023,4,CIEN480,Graduation Project-1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Fall 2023,4,IHDN401,Coastal and Harbor Engineering,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2023,4,PBWN407,Advanced Water and Wastewater Treatment Technologies,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2023,4,PBWN446,Deep Excavation and Side Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CIE] Civil Infrastructure Engineering,Summer 2023,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Summer 2023,2,MTHN203,Probability and Statistics,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Summer 2023,3,CIEN381,Industrial Training (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CIE] Civil Infrastructure Engineering,Summer 2023,3,GENN327,Selections of Life Long Skills,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Spring 2023,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1
[CIE] Civil Infrastructure Engineering,Spring 2023,3,PBWN302,Soil Mechanics,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Spring 2023,3,STRN322,Construction Planning and Scheduling,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2023,4,CIEN481,Graduation Project-2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2023,4,PBWN407,Advanced Water and Wastewater Treatment Technologies,0,0,0,0,1,0,2,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Spring 2023,4,PBWN442,Freight Transportation and ITS Applications,1,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Spring 2023,4,PBWN446,Deep Excavation and Side Support,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1
[CIE] Civil Infrastructure Engineering,Spring 2023,4,PBWN453,Tunnel Engineering,0,0,0,1,1,1,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Spring 2023,4,PBWN457,Introduction to Environmental Modelling,0,0,1,0,0,0,1,1,0,1,0,0,4,2,2,0
[CIE] Civil Infrastructure Engineering,Fall 2022,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
[CIE] Civil Infrastructure Engineering,Fall 2022,3,GENN301,Ethics and Legislation,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2022,3,GENN303,Critical thinking,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2022,3,GENN327,Selections of Life Long Skills,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2022,3,PBWN302,Soil Mechanics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2022,3,STRN302,Steel Structures Design I,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,1
[CIE] Civil Infrastructure Engineering,Fall 2022,3,STRN303,Reinforced Concrete Design II,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2022,3,STRN322,Construction Planning and Scheduling,0,0,0,0,0,0,1,0,0,1,0,2,4,1,1,2
[CIE] Civil Infrastructure Engineering,Fall 2022,4,CIEN480,Graduation Project-1,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1
[CIE] Civil Infrastructure Engineering,Fall 2022,4,PBWN404,Highways Pavement Design and Construction,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Fall 2022,4,PBWN445,GIS and Remote Sensing Applications,0,0,0,0,0,1,0,1,1,0,0,0,3,1,2,0
[CIE] Civil Infrastructure Engineering,Fall 2022,4,PBWN456,Advanced Topics in Networks Design,0,0,1,0,1,2,0,0,0,0,0,0,4,4,0,0
[CIE] Civil Infrastructure Engineering,Summer 2022,1,MTHN102,Multivariable Calculus and Linear Algebra,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Summer 2022,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Summer 2022,2,CIEN281,Industrial Training (1),0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Summer 2022,2,GENN224,Fundamentals of  Economics and Accounting,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Summer 2022,2,MTHN203,Probability and Statistics,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Summer 2022,3,CIEN381,Industrial Training (2),3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,1,MTHN102,Multivariable Calculus and Linear Algebra,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1
[CIE] Civil Infrastructure Engineering,Spring 2022,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2022,1,STRN105,Human Resources Management,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Spring 2022,2,PBWN205,Data Analysis and Least Squares Adjustment in Geomatics,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,GENN301,Ethics and Legislation,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,GENN311,Technical Writing in Arabic,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,GENN326,Marketing,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,PBWN303,Foundations,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,PBWN309,Wastewater Works,0,1,0,1,2,0,0,0,0,0,0,0,4,4,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,PBWN310,Geometric Design and Safety of Highways,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,PBWN358,Solid and Hazardous waste management,0,0,0,0,1,2,0,1,3,0,0,0,7,3,4,0
[CIE] Civil Infrastructure Engineering,Spring 2022,3,STRN303,Reinforced Concrete Design II,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,4,CIEN481,Graduation Project-2,5,3,1,2,0,0,0,0,0,0,0,0,11,11,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,4,PBWN407,Advanced Water and Wastewater Treatment Technologies,2,0,0,2,3,2,0,2,0,0,0,0,11,9,2,0
[CIE] Civil Infrastructure Engineering,Spring 2022,4,PBWN442,Freight Transportation and ITS Applications,4,6,1,1,0,0,0,0,0,0,0,0,12,12,0,0
[CIE] Civil Infrastructure Engineering,Spring 2022,4,PBWN446,Deep Excavation and Side Support,0,0,0,2,1,0,1,1,2,0,0,0,7,4,3,0
[CIE] Civil Infrastructure Engineering,Spring 2022,4,PBWN457,Introduction to Environmental Modelling,2,0,4,1,1,3,0,0,0,0,0,0,11,11,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,1,ARCN116,Introduction to Cad System for Civil Engineering,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
[CIE] Civil Infrastructure Engineering,Fall 2021,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,1,STRN104,Mechanics of Materials,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2021,2,CIEN281,Industrial Training (1),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,2,IHDN202,Open Channel Hydraulics,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2021,2,STRN224,Construction Project Management,0,0,1,0,0,0,1,1,0,0,1,0,4,2,2,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,CIEN381,Industrial Training (2),3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,GENN307,Entrepreneurship,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,PBWN300,Water Supply Works,0,0,2,0,1,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,PBWN302,Soil Mechanics,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,PBWN303,Foundations,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,PBWN304,Transport Planning and Travel Demand Modeling,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,PBWN305,Traffic Engineering Theory and Applications,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0
[CIE] Civil Infrastructure Engineering,Fall 2021,3,STRN302,Steel Structures Design I,0,0,0,1,0,0,1,0,0,0,1,1,4,2,1,1
[CIE] Civil Infrastructure Engineering,Fall 2021,3,STRN322,Construction Planning and Scheduling,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1
[CIE] Civil Infrastructure Engineering,Fall 2021,4,CIEN480,Graduation Project-1,11,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,IHDN401,Coastal and Harbor Engineering,1,0,0,3,1,3,1,4,0,1,0,0,14,9,5,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,PBWN404,Highways Pavement Design and Construction,1,2,2,2,4,1,0,1,0,0,0,0,13,12,1,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,PBWN440,Airport Planning and Design,1,0,2,7,1,1,0,0,0,0,0,0,12,12,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,PBWN446,Deep Excavation and Side Support,0,1,1,1,0,0,1,0,0,0,0,0,4,4,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,PBWN453,Tunnel Engineering,2,0,3,1,2,4,0,0,0,0,0,0,12,12,0,0
[CIE] Civil Infrastructure Engineering,Fall 2021,4,PBWN456,Advanced Topics in Networks Design,1,2,0,2,4,1,0,0,1,0,0,0,11,10,1,0
[CIE] Civil Infrastructure Engineering,Summer 2021,1,MTHN103,Differential Equations,0,0,0,0,0,1,0,0,0,0,1,2,4,1,1,2
[CIE] Civil Infrastructure Engineering,Summer 2021,2,CIEN281,Industrial Training (1),2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1
[CIE] Civil Infrastructure Engineering,Summer 2021,2,GENN201,Communication and Presentation Skills,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Summer 2021,2,MTHN203,Probability and Statistics,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,0
[CIE] Civil Infrastructure Engineering,Summer 2021,3,CIEN381,Industrial Training (2),7,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0
[CIE] Civil Infrastructure Engineering,Summer 2021,3,GENN332,Service Management,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,0,GENN004,Computers for Engineers,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Spring 2021,1,IHDN101,Principals of Irrigation and Drainage,0,1,1,2,0,0,1,1,0,0,0,0,6,5,1,0
[CIE] Civil Infrastructure Engineering,Spring 2021,1,MTHN102,Multivariable Calculus and Linear Algebra,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
[CIE] Civil Infrastructure Engineering,Spring 2021,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2021,1,STRN104,Mechanics of Materials,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2021,1,STRN105,Human Resources Management,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,2,CIEN281,Industrial Training (1),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,2,IHDN202,Open Channel Hydraulics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2021,2,PBWN200,Urban Transportation Planning,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,2,PBWN202,Surveying for Engineers,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,2,PBWN205,Data Analysis and Least Squares Adjustment in Geomatics,2,5,3,2,0,0,1,0,0,0,0,0,13,13,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,2,PBWN206,Geomatics,0,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN301,Ethics and Legislation,0,0,1,1,0,2,0,0,0,0,0,0,4,4,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN303,Critical thinking,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN307,Entrepreneurship,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN311,Technical Writing in Arabic,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN326,Marketing,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,GENN332,Service Management,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN302,Soil Mechanics,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN303,Foundations,1,0,0,2,3,0,0,1,0,2,1,0,10,6,4,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN307,Railway Engineering-1,0,0,2,0,2,3,3,1,2,0,1,0,14,10,4,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN309,Wastewater Works,1,0,1,5,1,2,0,1,0,0,0,0,11,10,1,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN310,Geometric Design and Safety of Highways,1,0,2,3,2,5,0,0,0,0,0,0,13,13,0,0
[CIE] Civil Infrastructure Engineering,Spring 2021,3,PBWN358,Solid and Hazardous waste management,0,0,2,0,2,3,0,0,1,0,0,0,8,7,1,0
[CIE] Civil Infrastructure Engineering,Spring 2021,4,PBWN446,Deep Excavation and Side Support,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2020,0,GENN004,Computers for Engineers,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2020,0,GENN005,Technical Writing,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,1,MTHN103,Differential Equations,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2020,1,STRN104,Mechanics of Materials,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2020,2,CIEN280,Engineering Seminar,15,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,2,GENN210,Risk Management and Environment,0,0,1,1,0,1,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,2,IHDN202,Open Channel Hydraulics,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
[CIE] Civil Infrastructure Engineering,Fall 2020,2,IHDN203,Water Chemistry and Microbiology,0,0,1,1,1,0,0,0,0,0,0,0,3,3,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,2,PBWN202,Surveying for Engineers,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,1
[CIE] Civil Infrastructure Engineering,Fall 2020,2,STRN224,Construction Project Management,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
[CIE] Civil Infrastructure Engineering,Fall 2020,3,GENN301,Ethics and Legislation,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,GENN310,Advanced Risk Management,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,GENN328,Scientific Research Methods,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,GENN331,Business Communication,2,1,1,0,1,0,0,0,0,0,0,0,5,5,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,PBWN300,Water Supply Works,0,1,1,1,2,2,1,1,2,1,0,0,12,8,4,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,PBWN302,Soil Mechanics,1,0,0,3,1,2,0,0,0,0,0,0,7,7,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,PBWN304,Transport Planning and Travel Demand Modeling,3,2,3,4,2,0,0,0,0,0,0,0,14,14,0,0
[CIE] Civil Infrastructure Engineering,Fall 2020,3,PBWN305,Traffic Engineering Theory and Applications,1,1,0,2,4,1,1,3,0,0,0,1,14,10,3,1
[CIE] Civil Infrastructure Engineering,Fall 2020,3,STRN303,Reinforced Concrete Design II,0,0,1,0,1,1,3,1,1,2,2,0,12,6,6,0
