149452|CMPS202|Introduction to Database Management Systems|Introduction to Database Management Systems
149524|CMPS203|Software Engineering|Software Engineering
149844|CMPS211|Advanced Programming Techniques|Advanced Programming Techniques
150098|CMPS301|Computer Architecture|Computer Architecture
150244|CMPS302|Algorithms Design and Analysis|Algorithms Design and Analysis
150246|CMPS303|Operating Systems|Operating Systems
150304|CMPS344|Data Science|Data Science
150468|CMPS402|Machine Intelligence|Machine Intelligence
150500|CMPS403|Compilers and Languages|Compilers and Languages
150574|CMPS405|Computer Networks-1|Computer Networks-1
150750|CMPS407|Computer Modeling and Simulations|Computer Modeling and Simulations
150752|CMPS425|Computer Consultation|Computer Consultation
150787|CMPS426|Security of Computer Systems and Networks|Security of Computer Systems and Networks
151011|CMPS445|Embedded Systems|Embedded Systems
151243|CMPS450|Pattern Recognition and Artificial Neural Networks|Pattern Recognition and Artificial Neural Networks
151351|CMPS451|Data Mining, Big Data and Data Analytics|Data Mining, Big Data and Data Analytics
151525|CMPS453|Cloud Computing|Cloud Computing
151629|CVES125|Civil Engineering|Civil Engineering
151679|CVES402|Surveying and Foundation Design|Surveying and Foundation Design
151769|EECS100|Laboratory|Laboratory
151905|EECS101|Electronics-1: Basic Electronic Circuits|Electronics-1: Basic Electronic Circuits
152183|EECS102|Circuits-1|Circuits-1
152269|EECS112|Circuits-2|Circuits-2
152561|EECS201|Electronics-2: Analog and Digital Electronics|Electronics-2: Analog and Digital Electronics
152713|EECS202|Operational Amplifiers circuits and applications|Operational Amplifiers circuits and applications
152759|EECS203|Signal Analysis|Signal Analysis
153025|EECS205|Electromagnetics-1|Electromagnetics-1
153097|EECS301|Electronics-3|Electronics-3
153147|EECS303|Signal Analysis for Mechatronic Systems|Signal Analysis for Mechatronic Systems
153215|EECS304|Control-1|Control-1
153333|EECS305|Electromagnetics-2|Electromagnetics-2
153373|EECS306|Communications-1: Analogue Communications|Communications-1: Analogue Communications
153557|EECS316|Communications-2|Communications-2
153707|EECS404|Control-2|Control-2
153765|EECS405|Antennas|Antennas
153771|EECS441|Advanced Topics in Electronics-2|Advanced Topics in Electronics-2
153809|EECS446|Advanced Topics in Communications-1|Advanced Topics in Communications-1
153819|EEES281|Industrial Training-1|Industrial Training-1
153822|EEES381|Industrial Training-2|Industrial Training-2
153829|EEES481|Graduation Project-1|Graduation Project-1
153859|EEES482|Graduation Project-2|Graduation Project-2
153953|ELCS103|Circuit Analysis|Circuit Analysis
153979|ELCS123|Basic Electronics and Digital Design|Basic Electronics and Digital Design
154021|EMCS001|Engineering Mechanics- Dynamics|Engineering Mechanics- Dynamics
154223|EMCS002|Engineering Mechanics - Statics|Engineering Mechanics - Statics
154873|EPES125|Electrical Power Engineering|Electrical Power Engineering
155025|EPES200|Basic Laboratory|Basic Laboratory
155119|EPES201|Electrical Engineering Fundamentals|Electrical Engineering Fundamentals
155275|EPES203|Electromagnetic Fields|Electromagnetic Fields
155355|EPES204|Energy Conversion|Energy Conversion
155429|EPES301|Electrical Machines-1|Electrical Machines-1
155481|EPES302|Elements of Power Systems|Elements of Power Systems
155521|EPES303|Electric Drive Systems|Electric Drive Systems
155601|EPES304|Electrical Machines-2|Electrical Machines-2
155681|EPES305|Industrial Instrumentation|Industrial Instrumentation
155751|EPES306|Power Electronics (1)|Power Electronics (1)
155831|EPES307|Electrical Measurements|Electrical Measurements
155925|EPES308|Automatic Control Systems|Automatic Control Systems
155991|EPES311|Microprocessors Applications|Microprocessors Applications
156081|EPES402|Power System Analysis|Power System Analysis
156147|EPES403|Power System Protection|Power System Protection
156205|EPES404|Digital Control Systems|Digital Control Systems
156315|EPES405|Power Electronics (2)|Power Electronics (2)
156351|EPES406|High Voltage Engineering|High Voltage Engineering
156431|EPES412|Electrical Power Distribution|Electrical Power Distribution
156493|EPES416|Power Stations|Power Stations
156523|EPES417|Renewable Energy Systems|Renewable Energy Systems
156559|EPES421|Electrical Machines Drives|Electrical Machines Drives
156573|EPES426|Computer Control in Energy Systems|Computer Control in Energy Systems
156663|EPES430|Operations Research|Operations Research
156751|EPES450|Programmable Logic Controllers|Programmable Logic Controllers
156907|EPES451|Industrial Communication and Network|Industrial Communication and Network
156953|GENS001|Critical and Creative Thinking|Critical and Creative Thinking
156972|GENS002|Societal Issues|Societal Issues
157317|GENS005|Writing and Presentation Skills|Writing and Presentation Skills
157600|GENS110|Fundamentals of Management, Risk and Environment|Fundamentals of Management, Risk and Environment
157763|GENS120|Fundamentals of Economics and Accounting|Fundamentals of Economics and Accounting
157886|GENS203|Entrepreneurship|Entrepreneurship
157902|GENS207|Foreign Language|Foreign Language
157952|GENS208|Marketing|Marketing
158015|GENS209|Selections of Life Long Skills|Selections of Life Long Skills
158043|IEMS482|Graduation Project-2|Graduation Project-2
158057|IHDS201|Fluid Mechanics|Fluid Mechanics
158083|IHDS401|Coastal and Harbor Engineering|Coastal and Harbor Engineering
158093|IHDS408|International Law of Water and Environment|International Law of Water and Environment
158096|IHDS409|River Engineering|River Engineering
158104|INTS001|Engineering Graphics|Engineering Graphics
158440|INTS005|Information Technology|Information Technology
158500|INTS125|Introduction to Mechanical Engineering|Introduction to Mechanical Engineering
158626|INTS203|Electromechanical Systems for Civil Engineers|Electromechanical Systems for Civil Engineers
158644|INTS216|Computer Aided Machine Drawing|Computer Aided Machine Drawing
158694|MCNS101|Thermodynamics|Thermodynamics
158860|MCNS202|Fluid Mechanics|Fluid Mechanics
159022|MCNS326|Heat Transfer|Heat Transfer
159154|MCNS327|Heat and Mass Transfer|Heat and Mass Transfer
159156|MDES280|Engineering Seminar|Engineering Seminar
159165|MDES281|Industrial Training-1|Industrial Training-1
159166|MDES482|Graduation Project-2|Graduation Project-2
159178|MDPS001|Fundamentals of Manufacturing Engineering|Fundamentals of Manufacturing Engineering
159280|MDPS133|Materials for Mechatronics|Materials for Mechatronics
159390|MDPS232|Engineering Materials|Engineering Materials
159408|MDPS241|Manufacturing Processes I|Manufacturing Processes I
159488|MDPS242|Manufacturing Processes II|Manufacturing Processes II
159580|MDPS251|Kinematics of Machine Components|Kinematics of Machine Components
159730|MDPS261|Stress Analysis|Stress Analysis
159838|MDPS301|Stress Analysis and Vessel Design|Stress Analysis and Vessel Design
159840|MDPS332|Computer Aided Design and Manufacturing CAD-CAM|Computer Aided Design and Manufacturing CAD-CAM
159878|MDPS352|Machine Design|Machine Design
160008|MDPS354|Machine and System Design|Machine and System Design
160014|MDPS355|Dynamics of Machine Components|Dynamics of Machine Components
160056|MDPS362|Operations Research I|Operations Research I
160094|MDPS363|Finite Element Analysis|Finite Element Analysis
160126|MDPS371|Mechanical Vibrations|Mechanical Vibrations
160258|MDPS372|Control System Dynamics|Control System Dynamics
160406|MDPS374|Design of Mechatronics Systems|Design of Mechatronics Systems
160690|MDPS381|Fundamentals of Industrial Engineering|Fundamentals of Industrial Engineering
160766|MDPS397|Safety Engineering|Safety Engineering
160782|MDPS399|Product Development and Innovation|Product Development and Innovation
160862|MDPS444|Sheet Metal Processing|Sheet Metal Processing
160884|MDPS457|Fluid Power Systems|Fluid Power Systems
160906|MDPS464|Failure Analysis|Failure Analysis
160918|MDPS473|Automatic Control I|Automatic Control I
160992|MDPS477|Micro and Nano-Electromechanical Systems|Micro and Nano-Electromechanical Systems
161032|MDPS479|Embedded systems for Mechatronics Applications|Embedded systems for Mechatronics Applications
161042|MDPS482|Quality Management|Quality Management
161130|MDPS483|System Modeling and Simulation|System Modeling and Simulation
161144|MDPS493|Industrial Management|Industrial Management
161154|MDPS496|Machine Learning for Industrial Engineering|Machine Learning for Industrial Engineering
161212|MDPS497|Lean Manufacturing and Six Sigma|Lean Manufacturing and Six Sigma
161220|MEES280|Engineering Seminar|Engineering Seminar
161273|MEES281|Industrial Training-1|Industrial Training-1
161278|MEES381|Industrial Training-2|Industrial Training-2
161281|MEES481|Graduation Project-1|Graduation Project-1
161317|MEES482|Graduation Project-2|Graduation Project-2
161425|MEPS209|Engineering Thermodynamics|Engineering Thermodynamics
161445|MEPS219|Mechanical Power Engineering|Mechanical Power Engineering
161529|MEPS224|Intermediate Fluid Mechanics|Intermediate Fluid Mechanics
161555|MEPS231|Laboratory of Mechanical Engineering|Laboratory of Mechanical Engineering
161589|MEPS309|Thermal Design of Energy Facilities|Thermal Design of Energy Facilities
161629|MEPS316|Air and Water Pollution and Quality Monitoring|Air and Water Pollution and Quality Monitoring
161675|MEPS320|Fundamentals and Applications of Solar Energy|Fundamentals and Applications of Solar Energy
161707|MEPS332|Laboratory of Energy Systems|Laboratory of Energy Systems
161751|MEPS413|Industrial Process Heating and Cooling|Industrial Process Heating and Cooling
161767|MEPS414|Advanced CFD|Advanced CFD
161799|MEPS421|Fundamentals of Refrigeration and Air Conditioning Design|Fundamentals of Refrigeration and Air Conditioning Design
161817|MEPS430|Wind Energy Systems Design|Wind Energy Systems Design
161849|MEPS436|Fundamentals of Turbomachinery|Fundamentals of Turbomachinery
161865|MEPS472|Automatic Control|Automatic Control
161881|METS401|Electrochemistry and Corrosion|Electrochemistry and Corrosion
161899|MTHS002|Calculus I|Calculus I
162095|MTHS003|Calculus 2|Calculus 2
162723|MTHS004|Discrete Mathematics|Discrete Mathematics
162883|MTHS005|Introduction to Probability and Statistics|Introduction to Probability and Statistics
162983|MTHS102|Linear Algebra and Multivariable Integrals|Linear Algebra and Multivariable Integrals
163183|MTHS104|Differential Equations|Differential Equations
163469|MTHS114|Numerical Analysis|Numerical Analysis
163701|MTHS204|Advanced Probability and Statistics|Advanced Probability and Statistics
164057|PBWS202|Surveying for Engineers|Surveying for Engineers
164079|PBWS301|Highway Engineering|Highway Engineering
164103|PBWS302|Soil Mechanics|Soil Mechanics
164125|PBWS402|Foundations|Foundations
164127|PBWS446|Deep Excavation and Side Support|Deep Excavation and Side Support
164153|PES301|Reservoir Engineering|Reservoir Engineering
164167|PES401|Petroleum Production Engineering|Petroleum Production Engineering
164169|PHYS001|Mechanical Properties of Matter and Thermodynamics|Mechanical Properties of Matter and Thermodynamics
164379|PHYS002|Electricity and Magnetism|Electricity and Magnetism
164811|PHYS102|Modern Physics|Modern Physics
165021|PHYS211|Electromagnetic Fields|Electromagnetic Fields
165085|PPSS482|Graduation Project-2|Graduation Project-2
165097|SBES120|Introduction to Biomedical Engineering|Introduction to Biomedical Engineering
165135|SBES121|Medical Physics|Medical Physics
